0x0,Properties end
0x8338,Use fake frame advantage
0x835b,Spend Leroy cane install
0x8383,Refill/drain heat
0x8384,Refill / Drain Heat (Opponent)
0x8387,Remove Recoverable Health
0x838e,Trigger cinematic camera
0x838f,Trigger Rage Art Stage VFX
0x8394,Activate Heat Aura VFX
0x83aa,Create Raven clone
0x83ab,Remove Raven clone
0x83ad,Play subtitle text
0x83b1,Set chara installs
0x83bc,Rotate Player
0x83bd,Rotate Opponent
0x83be,Pause/resume Heat Timer
0x83c0,Play black screen VFX
0x83ca,Make Character Glow
0x83cd,Add scaling (airborne)
0x83ce,Add scaling (standing)
0x83d6,Set game speed
0x83d7,Slowdown VFX
0x83e6,Armor break
0x83ee,Set Multi-level installs
0x83f9,Set Heihachi Warrior Instinct
0x8405,Apply Weakened state
0x848b,Attach item(?)
0x848c,Detach item(?)
0x850d,Change default initiator
0x850e,Change default standing
0x850f,Change default crouching
0x8510,Change default death
0x8511,Change default FUFT
0x8512,Change alias 0x8005
0x8513,Change alias 0x8006
0x8514,Change alias 0x8007
0x8515,Change alias 0x8008
0x8516,Change alias 0x8009
0x8517,Change alias 0x800a
0x8518,Change alias 0x800b
0x8519,Change alias 0x800c
0x851a,Change default SSL
0x851b,Change default SSR
0x851c,Change default quickduck neutral
0x851d,Change default quickduck forward
0x851e,Change default quickduck backward
0x851f,Change alias 0x8012
0x8520,Change default roll forward
0x8521,Change default forward jump
0x8522,Change alias 0x8015
0x8523,Change alias 0x8016
0x8524,Change alias 0x8017
0x8525,Change alias 0x8018
0x8526,Change alias 0x8019
0x8527,Change alias 0x801a
0x8528,Change alias 0x801b
0x8529,Change alias 0x801c
0x852a,Change alias 0x801d
0x852b,Change alias 0x801e
0x852c,Change alias 0x801f
0x852d,Change alias 0x8020
0x852e,Restore default alias
0x852f,Restore standing alias
0x8530,Restore crouching alias
0x8531,Restore death alias
0x8532,Restore FUFT alias
0x8533,Restore alias 0x8005
0x8534,Restore alias 0x8006
0x8535,Restore alias 0x8007
0x8536,Restore alias 0x8008
0x8537,Restore alias 0x8009
0x8538,Restore alias 0x800a
0x8539,Restore alias 0x800b
0x853a,Restore alias 0x800c
0x853b,Restore SSL alias
0x853c,Restore SSR alias
0x853d,Restore quickduck neutral alias
0x853e,Restore quickduck forward alias
0x853f,Restore quickduck backward alias
0x8540,Restore alias 0x8012
0x8541,Restore roll forward alias
0x8542,Restore forward jump alias
0x8543,Restore alias 0x8015
0x8544,Restore alias 0x8016
0x8545,Restore alias 0x8017
0x8546,Restore alias 0x8018
0x8547,Restore alias 0x8019
0x8548,Restore alias 0x801a
0x8549,Restore alias 0x801b
0x854a,Restore alias 0x801c
0x854b,Restore alias 0x801d
0x854c,Restore alias 0x801e
0x854d,Restore alias 0x801f
0x854e,Restore alias 0x8020
0x8555,Restore perma health
0x860a,Both hands pose
0x860b,Left hand pose
0x860c,Right hand pose
0x860e,Both hands pose related
0x860f,Play both hands anim
0x8610,Play left hand anim
0x8611,Play right hand anim
0x8612,Left hand anim related
0x8613,Right hand anim related
0x8683,Play wing anim
0x8684,wing anim related
0x8685,Play wing anim
0x868f,Throw Camera
0x8695,Camera zoom focal point
0x8696,Camera zoom VFX
0x8697,Camera orbit effect
0x86b0,Heat activation camera
0x877a,Play facial anim
0x877b,Play Drama facial anim
0x877c,Expand left arm muscles
0x877d,Expand right arm muscles
0x87ef,Play sound from player
0x87f0,Play sound from player
0x87f1,Play sound from player
0x87f2,Play sound from opponent
0x87f3,Play sound from opponent
0x87f8,Play Drama voicelcip
0x87f9,Preset camera zoom
